FID,Id,x,y,area,perimeter
110,0,378183.147088999980000,4410421.661419999800000,13.841636625100000,13.882895701900001
111,0,378179.572609000020000,4410425.387550000100000,24.919717750000000,20.093011747599999
112,0,378187.474262000000000,4410432.430950000000000,6.075700988710000,9.206594889660000
113,0,378187.059369000020000,4410434.939600000200000,6.103644931470000,9.385931438049999
114,0,378187.492672000020000,4410437.977590000300000,14.195438967599999,14.309637361100000
115,0,378186.869637000030000,4410441.504549999700000,15.749507714000000,17.698381184399999
116,0,378189.350837000010000,4410444.329509999600000,14.968217165900001,15.506452944099999
117,0,378183.114802000000000,4410442.667130000000000,14.958587260200000,16.284955809900001
118,0,378181.988870000000000,4410445.936359999700000,19.322675285599999,19.624437051699999
119,0,378180.980786999980000,4410449.767029999800000,18.986369007800000,17.497930705700000
120,0,378187.379383000020000,4410451.850259999700000,20.990185355700000,18.046408324400002
121,0,378186.323371000010000,4410447.846319999500000,18.460262382500002,17.284161432900000
122,0,378191.080047999970000,4410449.127650000200000,20.065932058900000,18.175153126600001
123,0,378193.635255999980000,4410446.303849999800000,15.106890187699999,16.010932093899999
124,0,378191.981328000020000,4410441.945290000200000,11.568963548199999,12.841149052500000
125,0,378196.666157000000000,4410443.185650000300000,22.384759747800000,18.061779285600000
126,0,378201.492733000020000,4410442.898769999900000,19.610891770700000,18.526982107999999
127,0,378205.900769000000000,4410446.234410000000000,43.306258197600002,25.753061269400000
128,0,378201.982265000000000,4410450.675819999500000,29.197527033000000,21.944104702899999
129,0,378197.210725000010000,4410448.605320000100000,18.328609689299999,15.855038669600001
130,0,378194.042289000000000,4410452.106370000200000,12.889174316800000,13.540862289900000
131,0,378197.743574999970000,4410452.768980000200000,10.453089909999999,12.424628182499999
132,0,378190.898823000030000,4410455.458320000200000,18.331409864299999,15.633071792499999
133,0,378180.900665999970000,4410454.510139999900000,29.438454748400002,21.190795172500000
134,0,378184.993893000010000,4410456.518140000300000,27.241318455900000,21.821549740799998
135,0,378185.727421000020000,4410460.769229999700000,11.339111203300000,14.572519007500000
136,0,378181.061953999980000,4410461.180309999700000,16.564285156499999,15.664970480699999
137,0,378182.490120999980000,4410464.551330000200000,7.279164666720000,10.578809314500001
138,0,378186.931860000010000,4410465.209900000100000,29.332012045300001,21.883612721300000
139,0,378189.985656999980000,4410460.891110000200000,23.490771285099999,18.155043212700001
140,0,378178.535391999990000,4410463.698189999900000,10.446205008200000,13.794119035100000
141,0,378172.589412999980000,4410465.857260000000000,13.628201777199999,14.284470380600000
142,0,378174.973689000010000,4410467.581659999700000,9.503827250440001,11.874274675700001
143,0,378179.239013999990000,4410467.203090000000000,17.942184174200001,15.777423604100001
144,0,378184.210489000020000,4410468.236139999700000,16.130337240999999,15.767895904100000
145,0,378191.950634000010000,4410470.346730000300000,26.400273955700001,20.754000928499998
146,0,378193.653108000000000,4410463.256710000300000,8.907387891370000,11.148213570799999
147,0,378192.208986999990000,4410466.215690000000000,16.543725893100000,17.555811974899999
148,0,378203.786850999980000,4410457.223009999800000,13.156668333500001,14.643573403100000
149,0,378199.929461000020000,4410456.678740000400000,13.303678050000000,13.693262155099999
150,0,378196.900685000000000,4410456.558310000200000,8.869076031580001,11.898555154600000
151,0,378194.603856000000000,4410458.579409999800000,26.640591334900002,22.338765173799999
152,0,378201.877564000020000,4410454.397619999900000,7.245612137290000,10.723611817500000
153,0,378206.071194000020000,4410459.218139999500000,11.654369193599999,12.904976813699999
154,0,378207.351059000010000,4410462.885800000300000,14.074408739800001,15.348984066000000
155,0,378198.161513999980000,4410461.435270000200000,6.566433378970000,9.734755945100000
156,0,378201.637179000010000,4410462.232269999600000,28.857616430499998,25.692221171200000
157,0,378197.858078000020000,4410467.294640000000000,38.635500527300003,29.593531826900001
158,0,378201.917646999990000,4410471.956519999500000,26.364821454800001,20.594934420300000
159,0,378205.078608000010000,4410467.177520000400000,25.295577237600000,21.413405722099998
160,0,378182.212065000030000,4410474.962849999800000,17.227641442700001,15.488352697200000
161,0,378178.557028000010000,4410471.433090000400000,7.754855824730000,10.337853108999999
162,0,378174.392507000010000,4410471.976390000400000,24.914291787300002,19.697614767099999
163,0,378177.836130000010000,4410474.521130000200000,13.788783397700000,14.962330309400000
164,0,378178.031419000010000,4410478.306850000300000,25.755340034600000,20.432803315000001
165,0,378183.753803000030000,4410480.712030000100000,38.272585040499997,24.187734739400000
166,0,378195.472317999990000,4410473.216029999800000,16.465103159600002,17.170100783199999
167,0,378191.593295000030000,4410474.507330000400000,13.441154058600000,18.258759358199999
168,0,378191.595598999990000,4410477.822189999700000,24.601536751600001,23.347467644900000
169,0,378187.098019999980000,4410470.789020000000000,6.627215614320000,9.634767529510000
170,0,378187.116808000020000,4410473.970490000200000,12.717023012000000,14.183742217400001
171,0,378182.176272000010000,4410471.097350000400000,14.893634859900001,15.022537321900000
172,0,378170.918521000010000,4410469.336450000300000,13.332515310000000,15.218876808199999
173,0,378166.873221000020000,4410466.779299999600000,18.761550271400001,17.056485191099998
174,0,378162.187661000000000,4410467.414789999800000,19.822508276899999,17.713965697199999
175,0,378164.409381999980000,4410470.778330000100000,10.418087598800000,12.720416249299999
176,0,378168.131098999990000,4410470.981619999700000,12.970390167600000,15.655997948400000
177,0,378167.994406000010000,4410474.335420000400000,9.103400820270000,12.103838093400000
178,0,378164.485721000000000,4410474.856189999700000,14.461767566600001,15.512002228100000
