"","手工质心x","树顶x","手工质心y","树顶y","x差绝对值","y差绝对值","手工面积.算法面积","手工面积","算法面积","相对误差"
"116",378181,378182,4410460,4410460,0.453046,0.61769,-5.01571,16.5643,21.58,0.302803
"117",378187,378187,4410470,4410470,0.18314,0.1881,-4.55799,29.332,33.89,0.155393
"118",378190,378191,4410460,4410460,1.42934,0.19311,5.63077,23.4908,17.86,0.239701
"119",378179,378179,4410460,4410460,0.479608,0.09981,-3.28379,10.4462,13.73,0.314353
"120",378175,378175,4410470,4410470,0.141311,0.28366,-4.50617,9.50383,14.01,0.474143
"121",378179,378179,4410470,4410470,0.024014,0.10509,-3.05782,17.9422,21,0.170426
"122",378184,378184,4410470,4410470,0.004511,0.16186,1.98034,16.1303,14.15,0.122771
"123",378192,378192,4410470,4410470,0.264366,0.05127,1.13027,26.4003,25.27,0.042813
"124",378194,378195,4410460,4410460,1.36189,0.34129,-3.05261,8.90739,11.96,0.342706
"125",378192,378192,4410470,4410470,0.593987,0.58231,-2.72627,16.5437,19.27,0.164792
"126",378204,378204,4410460,4410460,0.128149,0.07499,-0.103332,13.1567,13.26,0.00785394
"127",378200,378200,4410460,4410460,0.314461,0.18074,-5.88632,13.3037,19.19,0.442458
"128",378197,378197,4410460,4410460,0.114315,0.23969,5.35908,8.86908,3.51,0.604243
"129",378195,378194,4410460,4410460,0.488856,0.01859,-9.85941,26.6406,36.5,0.37009
"130",378206,378207,4410460,4410460,1.04381,0.62014,-15.9856,11.6544,27.64,1.37164
"131",378202,378203,4410460,4410460,0.877821,0.26573,-2.90238,28.8576,31.76,0.100576
"132",378198,378197,4410470,4410470,1.14308,1.19664,5.0455,38.6355,33.59,0.130592
"133",378202,378203,4410470,4410470,1.29735,0.25852,14.4748,26.3648,11.89,0.54902
"134",378205,378205,4410470,4410470,0.236392,0.87952,3.98558,25.2956,21.31,0.15756
"135",378182,378182,4410470,4410470,0.102935,0.36485,-2.49236,17.2276,19.72,0.144672
"136",378179,378179,4410470,4410470,0.042028,0.26491,-1.97514,7.75486,9.73,0.254698
"137",378174,378174,4410470,4410470,0.277507,0.57839,-0.425708,24.9143,25.34,0.0170869
"138",378178,378178,4410470,4410470,0.07887,0.12313,-0.841217,13.7888,14.63,0.0610073
"139",378178,378178,4410480,4410480,0.083581,0.50885,-7.04466,25.7553,32.8,0.273522
"140",378195,378195,4410470,4410470,0.557318,0.58197,7.4051,16.4651,9.06,0.449745
"141",378192,378192,4410470,4410470,0.521705,0.00933,2.49115,13.4412,10.95,0.185338
"142",378192,378192,4410480,4410480,0.119401,0.12419,-16.4985,24.6015,41.1,0.670627
"143",378187,378187,4410470,4410470,0.298192,0.57249,-4.95298,12.717,17.67,0.389476
"144",378182,378183,4410470,4410470,0.338728,0.49935,-1.14637,14.8936,16.04,0.0769701
"145",378171,378171,4410470,4410470,0.203521,0.63845,2.13252,13.3325,11.2,0.159948
"146",378167,378167,4410470,4410470,0.341779,0.1813,0.18155,18.7616,18.58,0.00967672
"147",378162,378162,4410470,4410470,0.072661,0.21679,-2.35749,19.8225,22.18,0.11893
"148",378164,378165,4410470,4410470,0.105618,0.28033,0.858088,10.4181,9.56,0.0823652
"149",378168,378168,4410470,4410470,0.116099,0.28362,-5.23961,12.9704,18.21,0.403967
"150",378168,378167,4410470,4410470,0.579406,0.33742,-1.5866,9.1034,10.69,0.174286
"151",378164,378165,4410470,4410470,0.429279,0.05819,0.161768,14.4618,14.3,0.0111859
"152",378161,378162,4410470,4410470,0.076598,0.24526,-4.58802,11.802,16.39,0.38875
"153",378158,378159,4410470,4410470,0.534017,0.15713,-3.31204,16.918,20.23,0.195771
"154",378161,378161,4410480,4410480,0.040738,0.32599,2.7205,13.6005,10.88,0.200029
"155",378157,378157,4410480,4410480,0.231467,0.10659,-5.55408,13.9659,19.52,0.397688
"156",378171,378171,4410480,4410480,0.124764,0.73075,-3.96245,20.4876,24.45,0.193408
"157",378157,378158,4410470,4410470,0.248863,0.62374,3.71202,30.592,26.88,0.121339
"158",378150,378151,4410460,4410460,0.496297,0.0689,-3.1053,14.0347,17.14,0.221259
"159",378147,378147,4410460,4410460,0.410439,0.33236,1.54937,10.2094,8.66,0.151759
"160",378147,378148,4410470,4410470,0.700073,0.55357,-0.13384,12.7462,12.88,0.0105004
